,index,TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
65,237479,Theft of Bicycle,2003,10,9,12,0,3XX W GEORGIA ST,Central Business District,491651.565303,5458615.15115
66,249928,Theft of Bicycle,2003,2,14,9,0,HOMER ST / W HASTINGS ST,Central Business District,491931.876104,5458968.12356
67,231413,Theft of Bicycle,2003,5,31,21,15,21XX W 10TH AVE,Kitsilano,488866.97335600003,5456684.2356
68,249929,Theft of Bicycle,2003,7,7,10,30,HOMER ST / W HASTINGS ST,Central Business District,491931.876104,5458968.12356
69,243800,Theft of Bicycle,2003,9,3,18,0,84XX ASH ST,Marpole,491337.871563,5450657.38905
70,231414,Theft of Bicycle,2003,3,2,1,50,21XX W 11TH AVE,Kitsilano,488842.299579,5456591.93961
71,237478,Theft of Bicycle,2003,10,5,13,30,3XX W GEORGIA ST,Central Business District,491651.565303,5458615.15115
72,243801,Theft of Bicycle,2003,9,3,19,0,84XX ASH ST,Marpole,491337.871563,5450657.38905
73,226747,Theft of Bicycle,2003,9,22,11,0,16XX E 4TH AVE,Grandview-Woodland,494802.960179,5457131.54175
74,226761,Theft of Bicycle,2003,10,3,3,0,16XX E 5TH AVE,Grandview-Woodland,494852.496733,5457023.9524
75,226763,Theft of Bicycle,2003,3,9,20,0,16XX E 6TH AVE,Grandview-Woodland,494787.09680600005,5456924.48079
76,226765,Theft of Bicycle,2003,2,5,20,0,16XX E 6TH AVE,Grandview-Woodland,494889.079629,5456922.52455
77,243500,Theft of Bicycle,2003,1,30,4,0,7XX UNION ST,Strathcona,493566.96761000005,5458309.39815
78,223009,Theft of Bicycle,2003,8,28,19,10,12XX BURNABY ST,West End,490211.975545,5458713.258230001
79,221503,Theft of Bicycle,2003,4,8,22,30,10XX W 13TH AVE,Fairview,490683.75437200005,5456333.608080001
80,243549,Theft of Bicycle,2003,9,28,18,0,7XX W 16TH AVE,South Cambie,491134.73863800004,5456031.00208
81,226861,Theft of Bicycle,2003,6,2,17,30,16XX HORNBY ST,Central Business District,490299.28059499996,5458037.73107
82,223016,Theft of Bicycle,2003,12,10,12,0,12XX BURRARD ST,Central Business District,490562.836683,5458441.0069
83,223017,Theft of Bicycle,2003,12,12,19,0,12XX BURRARD ST,Central Business District,490562.836683,5458441.0069
84,226852,Theft of Bicycle,2003,6,23,12,0,16XX HARWOOD ST,West End,489706.05088999995,5459074.66116
85,226851,Theft of Bicycle,2003,4,24,19,0,16XX HARWOOD ST,West End,489706.05088999995,5459074.66116
86,226850,Theft of Bicycle,2003,4,22,8,0,16XX HARWOOD ST,West End,489706.05088999995,5459074.66116
87,221510,Theft of Bicycle,2003,1,4,3,30,10XX W 14TH AVE,Fairview,490646.114203,5456223.565690001
88,243601,Theft of Bicycle,2003,3,22,1,0,7XX W 7TH AVE,Fairview,491236.744201,5456925.43021
89,243659,Theft of Bicycle,2003,2,17,20,0,7XX W GEORGIA ST,Central Business District,491401.32141000003,5458865.33065
90,221485,Theft of Bicycle,2003,4,7,14,0,10XX W 11TH AVE,Fairview,490636.94392,5456535.86922
91,243660,Theft of Bicycle,2003,5,26,9,30,7XX W GEORGIA ST,Central Business District,491401.32141000003,5458865.33065
92,231369,Theft of Bicycle,2003,7,4,18,0,21XX OXFORD ST,Grandview-Woodland,495582.013682,5459215.40939
93,243661,Theft of Bicycle,2003,6,16,23,0,7XX W GEORGIA ST,Central Business District,491401.32141000003,5458865.33065
94,249910,Theft of Bicycle,2003,9,29,16,0,HOMER ST / W GEORGIA ST,Central Business District,491620.998369,5458653.2411
95,221477,Theft of Bicycle,2003,8,22,12,0,10XX W 10TH AVE,Fairview,490696.66049,5456636.518019999
96,248077,Theft of Bicycle,2003,8,18,13,30,COMMERCIAL DR / E BROADWAY AVE,Grandview-Woodland,494921.90316800005,5456620.4272
97,248076,Theft of Bicycle,2003,2,19,7,0,COMMERCIAL DR / E BROADWAY AV,Grandview-Woodland,494921.90316800005,5456620.4272
98,226773,Theft of Bicycle,2003,9,15,11,15,16XX E BROADWAY AVE,Kensington-Cedar Cottage,494783.005999,5456617.77741
99,243618,Theft of Bicycle,2003,2,11,18,0,7XX W 8TH AVE,Fairview,491253.90486400004,5456839.98142
100,237477,Theft of Bicycle,2003,9,21,13,30,3XX W GEORGIA ST,Central Business District,491651.565303,5458615.15115
101,227174,Theft of Bicycle,2003,4,11,9,0,16XX NAPIER ST,Grandview-Woodland,494923.032045,5458018.9249599995
102,237721,Theft of Bicycle,2003,12,23,12,0,3XX W KING EDWARD AVE,Riley Park,491819.89872299996,5455146.98364
103,242785,Theft of Bicycle,2003,6,20,9,0,7XX BEATTY ST,Central Business District,491832.340624,5458436.01562
104,222863,Theft of Bicycle,2003,7,6,16,0,12XX ALBERNI ST,West End,490834.04694,5459342.89225
105,238044,Theft of Bicycle,2003,11,2,14,0,42XX W 13TH AVE,West Point Grey,485350.290009,5456493.31821
106,227342,Theft of Bicycle,2003,5,29,9,0,16XX W 10TH AVE,Fairview,489577.11490299995,5456675.334480001
107,227331,Theft of Bicycle,2003,5,17,16,0,16XX STEPHENS ST,Kitsilano,487909.751739,5457648.91807
108,227328,Theft of Bicycle,2003,7,25,18,0,16XX STANLEY PARK DR,Stanley Park,491406.72727,5460620.01499
109,230844,Theft of Bicycle,2003,2,5,8,0,20XX E 3RD AVE,Grandview-Woodland,495482.25153999997,5457225.07684
110,222875,Theft of Bicycle,2003,7,16,20,0,12XX ALDER BAY WALK,Fairview,490330.04419700004,5457216.42013
111,242819,Theft of Bicycle,2003,7,15,16,0,7XX CHILCO ST,Stanley Park,490008.914442,5460156.93625
112,230849,Theft of Bicycle,2003,9,1,13,0,20XX E 5TH AVE,Grandview-Woodland,495389.659124,5457025.57755
113,221671,Theft of Bicycle,2003,8,6,17,0,10XX W HASTINGS ST,Central Business District,491386.31070699997,5459438.41275
114,230858,Theft of Bicycle,2003,5,10,13,0,20XX E GEORGIA ST,Grandview-Woodland,495460.90322700003,5458401.90846
115,222878,Theft of Bicycle,2003,3,25,17,0,12XX BARCLAY ST,West End,490526.865099,5459182.444730001
116,230866,Theft of Bicycle,2003,12,14,16,30,20XX E HASTINGS ST,Grandview-Woodland,495506.417051,5458719.98422
117,230869,Theft of Bicycle,2003,7,28,11,15,20XX E PENDER ST,Grandview-Woodland,495462.78736899997,5458606.62475
118,242823,Theft of Bicycle,2003,2,3,19,0,7XX CHILCO ST,West End,490015.32489700004,5460150.415580001
119,242831,Theft of Bicycle,2003,7,13,20,30,7XX DAVIE ST,Central Business District,490814.457321,5458274.51002
120,242832,Theft of Bicycle,2003,10,13,13,30,7XX DAVIE ST,Central Business District,490814.457321,5458274.51002
121,237996,Theft of Bicycle,2003,5,14,12,0,42XX ARBUTUS ST,Arbutus Ridge,488840.866471,5455054.20476
122,249708,Theft of Bicycle,2003,10,24,21,0,GRANVILLE ST / W HASTINGS ST,Central Business District,491720.69796,5459179.651269999
123,222884,Theft of Bicycle,2003,1,13,4,15,12XX BARCLAY ST,West End,490545.53463199997,5459177.04679
124,227361,Theft of Bicycle,2003,7,23,9,0,16XX W 13TH AVE,Fairview,489584.260764,5456352.08182
125,227362,Theft of Bicycle,2003,9,17,9,0,16XX W 13TH AVE,Fairview,489584.260764,5456352.08182
126,221688,Theft of Bicycle,2003,7,11,8,0,10XX W PENDER ST,Central Business District,491260.597597,5459419.15795
127,227363,Theft of Bicycle,2003,2,13,23,30,16XX W 13TH AVE,Fairview,489587.639733,5456361.13601
128,230730,Theft of Bicycle,2003,6,15,15,0,20XX BEACH AVE,West End,489421.9892,5459740.71292
129,249629,Theft of Bicycle,2003,9,1,0,5,GRANVILLE ST / W BROADWAY AVE,Fairview,489918.77945,5456767.69513
130,230739,Theft of Bicycle,2003,2,20,21,0,20XX BEACH AVE,West End,489504.57445699995,5459658.2828
131,238135,Theft of Bicycle,2003,8,13,16,4,44XX OAK ST,South Cambie,490713.71466099995,5454766.29356
132,248257,Theft of Bicycle,2003,8,15,12,0,CORNWALL AVE / MAPLE ST,Kitsilano,489072.38945699995,5457761.38853
133,238115,Theft of Bicycle,2003,5,6,20,30,44XX ALMA ST,Dunbar-Southlands,486403.61257,5454940.17586
134,238110,Theft of Bicycle,2003,5,25,20,0,43XX WILLOW ST,South Cambie,491084.79751000006,5454863.07322
135,230782,Theft of Bicycle,2003,11,1,12,0,20XX COMOX ST,West End,489581.780475,5459808.088330001
136,227370,Theft of Bicycle,2003,8,15,17,0,16XX W 13TH AVE,Fairview,489681.436562,5456358.54591
137,230789,Theft of Bicycle,2003,11,14,8,0,20XX CORNWALL AVE,Kitsilano,488922.926553,5457760.55259
138,222885,Theft of Bicycle,2003,11,4,7,0,12XX BARCLAY ST,West End,490545.53463199997,5459177.04679
139,230790,Theft of Bicycle,2003,11,14,17,0,20XX CORNWALL AVE,Kitsilano,488922.926553,5457760.55259
140,222849,Theft of Bicycle,2003,9,11,12,55,11XX W PENDER ST,Central Business District,491229.241892,5459423.35439
141,238083,Theft of Bicycle,2003,4,1,2,12,43XX W 10TH AVE,West Point Grey,485041.572651,5456795.76044
142,238080,Theft of Bicycle,2003,12,24,17,0,43XX SOPHIA ST,Riley Park,492777.76881599997,5454857.17364
143,227368,Theft of Bicycle,2003,8,9,19,30,16XX W 13TH AVE,Fairview,489681.436562,5456358.54591
144,227367,Theft of Bicycle,2003,5,13,0,0,16XX W 13TH AVE,Fairview,489681.436562,5456358.54591
145,248252,Theft of Bicycle,2003,6,27,19,0,CORNWALL AVE / CYPRESS ST,Kitsilano,489248.127427,5457756.851009999
146,227365,Theft of Bicycle,2003,10,5,18,0,16XX W 13TH AVE,Fairview,489587.639733,5456361.13601
147,238072,Theft of Bicycle,2003,12,10,17,0,43XX PINE CRES,Shaughnessy,489256.019113,5454963.05072
148,248247,Theft of Bicycle,2003,9,12,23,0,CONNAUGHT DR / W 37TH AVE,Shaughnessy,489661.195571,5453932.52623
149,227364,Theft of Bicycle,2003,9,4,19,0,16XX W 13TH AVE,Fairview,489587.639733,5456361.13601
150,227369,Theft of Bicycle,2003,8,12,3,8,16XX W 13TH AVE,Fairview,489681.436562,5456358.54591
151,231086,Theft of Bicycle,2003,1,10,18,0,20XX W 2ND AVE,Kitsilano,489016.257105,5457472.663919999
152,242837,Theft of Bicycle,2003,5,19,17,9,7XX DENMAN ST,West End,490177.685222,5459890.36108
153,237980,Theft of Bicycle,2003,5,17,0,0,41XX W 14TH AVE,West Point Grey,485592.81589300005,5456386.35413
154,230986,Theft of Bicycle,2003,1,13,8,0,20XX SCOTIA ST,Mount Pleasant,492816.842606,5457121.8997599995
155,230987,Theft of Bicycle,2003,4,5,0,0,20XX SCOTIA ST,Mount Pleasant,492816.842606,5457121.8997599995
156,242935,Theft of Bicycle,2003,9,6,7,30,7XX E 19TH AVE,Kensington-Cedar Cottage,493500.479121,5455659.94741
157,234123,Theft of Bicycle,2003,3,27,11,0,29XX ALDER ST,Fairview,490432.743131,5456248.201669999
158,231002,Theft of Bicycle,2003,8,13,17,0,20XX STEPHENS ST,Kitsilano,487893.072837,5457274.19035
159,227224,Theft of Bicycle,2003,4,1,20,0,16XX NELSON ST,West End,490077.9404,5459479.621730001
160,242987,Theft of Bicycle,2003,1,6,16,30,7XX E 7TH AVE,Mount Pleasant,493559.732011,5456848.86536
161,231013,Theft of Bicycle,2003,9,12,9,0,20XX TRIMBLE ST,West Point Grey,485025.46005299996,5457365.12686
162,243032,Theft of Bicycle,2003,2,14,16,30,7XX EXPO BLVD,Central Business District,491803.06910699996,5458328.08925
163,237842,Theft of Bicycle,2003,6,29,14,0,40XX CAMBIE ST,Riley Park,491608.072409,5455208.96462
164,243051,Theft of Bicycle,2003,11,11,11,30,7XX GRANVILLE ST,Central Business District,491394.116601,5458844.25619
165,237801,Theft of Bicycle,2003,9,21,16,30,3XX WATER ST,Central Business District,492076.92459899996,5459065.57368
166,227178,Theft of Bicycle,2003,10,6,20,0,16XX NAPIER ST,Grandview-Woodland,494923.032045,5458018.9249599995
167,227177,Theft of Bicycle,2003,7,14,8,25,16XX NAPIER ST,Grandview-Woodland,494923.032045,5458018.9249599995
168,231048,Theft of Bicycle,2003,3,16,16,30,20XX W 11TH AVE,Kitsilano,489002.87427200004,5456578.4533400005
169,227176,Theft of Bicycle,2003,6,18,15,20,16XX NAPIER ST,Grandview-Woodland,494923.032045,5458018.9249599995
170,222937,Theft of Bicycle,2003,4,26,0,0,12XX BIDWELL ST,West End,489791.07071000006,5459268.81443
171,227175,Theft of Bicycle,2003,6,14,15,15,16XX NAPIER ST,Grandview-Woodland,494923.032045,5458018.9249599995
172,231069,Theft of Bicycle,2003,1,19,11,23,20XX W 1ST AVE,Kitsilano,488956.02869799995,5457572.256440001
173,231070,Theft of Bicycle,2003,11,1,0,0,20XX W 1ST AVE,Kitsilano,488956.02869799995,5457572.256440001
174,237732,Theft of Bicycle,2003,6,14,12,15,3XX W PENDER ST,Central Business District,491906.872512,5458854.8674099995
175,222913,Theft of Bicycle,2003,7,14,22,0,12XX BIDWELL ST,West End,489721.545997,5459197.76553
176,221622,Theft of Bicycle,2003,4,23,8,0,10XX W GEORGIA ST,Central Business District,491088.611542,5459190.060740001
177,242871,Theft of Bicycle,2003,11,16,16,0,7XX DUNSMUIR ST,Central Business District,491485.389051,5459049.95175
178,237884,Theft of Bicycle,2003,8,10,17,0,40XX W 11TH AVE,West Point Grey,485812.81458500004,5456681.12412
179,230897,Theft of Bicycle,2003,5,29,20,0,20XX GRANT ST,Grandview-Woodland,495405.63210200006,5457606.370180001
180,222895,Theft of Bicycle,2003,8,21,16,0,12XX BEACH AVE,West End,489972.95054700004,5458602.03915
181,237969,Theft of Bicycle,2003,6,5,15,30,41XX TRAFALGAR ST,Arbutus Ridge,487973.86126499996,5455194.7256
182,237954,Theft of Bicycle,2003,7,25,22,25,41XX NANAIMO ST,Renfrew-Collingwood,495881.325479,5454963.9280900005
183,230921,Theft of Bicycle,2003,9,14,17,0,20XX KINGSWAY AVE,Kensington-Cedar Cottage,495283.02128999995,5454696.87825
184,248199,Theft of Bicycle,2003,5,6,3,0,COMMERCIAL DR / NAPIER ST,Grandview-Woodland,494941.32361099997,5458014.17654
185,227299,Theft of Bicycle,2003,9,17,20,15,16XX ROBSON ST,West End,490371.74132,5459640.71397
186,237935,Theft of Bicycle,2003,6,17,12,30,41XX GLADSTONE ST,Kensington-Cedar Cottage,495591.65722,5455030.1882
187,237934,Theft of Bicycle,2003,6,17,12,0,41XX GLADSTONE ST,Kensington-Cedar Cottage,495591.65722,5455030.1882
188,222900,Theft of Bicycle,2003,3,13,18,0,12XX BEACH AVE,West End,490014.041754,5458539.2315
189,237981,Theft of Bicycle,2003,2,1,19,0,41XX W 15TH AVE,West Point Grey,485513.133488,5456284.95479
190,230934,Theft of Bicycle,2003,1,3,20,0,20XX MAPLE ST,Kitsilano,489062.017118,5457193.12197
191,237926,Theft of Bicycle,2003,7,10,9,0,41XX CROWN CRES,West Point Grey,485479.52995399997,5456924.40695
192,227290,Theft of Bicycle,2003,8,26,10,0,16XX ROBSON ST,West End,490299.39655299997,5459726.70842
193,237900,Theft of Bicycle,2003,10,4,12,0,40XX W 27TH AVE,Dunbar-Southlands,485809.879321,5455051.93695
194,221632,Theft of Bicycle,2003,7,9,14,0,10XX W GEORGIA ST,Central Business District,491115.752032,5459163.17794
195,237898,Theft of Bicycle,2003,6,10,11,0,40XX W 20TH AVE,Dunbar-Southlands,485820.164275,5455795.39556
196,230960,Theft of Bicycle,2003,6,20,7,0,20XX PENDRELL ST,West End,489505.02902899997,5459742.89801
197,230969,Theft of Bicycle,2003,2,16,15,0,20XX PENDRELL ST,West End,489547.89461499994,5459700.4310099995
198,227286,Theft of Bicycle,2003,7,23,0,0,16XX ROBSON ST,West End,490267.331829,5459746.07461
199,227285,Theft of Bicycle,2003,3,1,0,0,16XX ROBSON ST,West End,490267.331829,5459746.07461
200,242870,Theft of Bicycle,2003,6,7,14,35,7XX DUNSMUIR ST,Central Business District,491485.389051,5459049.95175
201,230935,Theft of Bicycle,2003,1,10,14,0,20XX MAPLE ST,Kitsilano,489062.017118,5457193.12197
202,237476,Theft of Bicycle,2003,8,12,13,30,3XX W GEORGIA ST,Central Business District,491651.565303,5458615.15115
203,237475,Theft of Bicycle,2003,7,31,15,0,3XX W GEORGIA ST,Central Business District,491651.565303,5458615.15115
204,237474,Theft of Bicycle,2003,7,30,12,0,3XX W GEORGIA ST,Central Business District,491651.565303,5458615.15115
205,231845,Theft of Bicycle,2003,8,14,10,20,22XX MAPLE ST,Kitsilano,489049.81674700003,5457050.325119999
206,231851,Theft of Bicycle,2003,2,25,21,30,22XX MARSTRAND AVE,Kitsilano,488551.03476300003,5456641.36042
207,231852,Theft of Bicycle,2003,4,5,13,0,22XX MARSTRAND AVE,Kitsilano,488551.03476300003,5456641.36042
208,221244,Theft of Bicycle,2003,7,18,18,16,10XX MAINLAND ST,Central Business District,491343.940945,5458205.82472
209,231853,Theft of Bicycle,2003,4,5,13,15,22XX MARSTRAND AVE,Kitsilano,488551.03476300003,5456641.36042
210,231854,Theft of Bicycle,2003,4,10,10,0,22XX MARSTRAND AVE,Kitsilano,488551.03476300003,5456641.36042
211,244256,Theft of Bicycle,2003,8,5,21,0,8XX BROUGHTON ST,West End,490549.585957,5459464.135009999
212,231857,Theft of Bicycle,2003,6,14,23,0,22XX MARSTRAND AVE,Kitsilano,488579.400591,5456649.642630001
213,231858,Theft of Bicycle,2003,4,9,12,30,22XX MARSTRAND AVE,Kitsilano,488644.657339,5456638.50193
214,221238,Theft of Bicycle,2003,12,23,9,0,10XX MAINLAND ST,Central Business District,491273.074664,5458145.49888
215,231859,Theft of Bicycle,2003,4,9,16,0,22XX MARSTRAND AVE,Kitsilano,488644.657339,5456638.50193
216,226297,Theft of Bicycle,2003,3,29,0,1,15XX W 16TH AVE,Fairview,489741.31441000005,5456050.4371
217,236993,Theft of Bicycle,2003,1,11,0,0,3XX E 1ST AVE,Mount Pleasant,492962.58163599996,5457247.92628
218,236992,Theft of Bicycle,2003,1,10,12,12,3XX E 1ST AVE,Mount Pleasant,492962.58163599996,5457247.92628
219,247808,Theft of Bicycle,2003,6,17,9,30,CARRALL ST / E PENDER ST,Central Business District,492408.434397,5458642.803590001
220,236981,Theft of Bicycle,2003,7,27,21,30,3XX E 16TH AVE,Mount Pleasant,492857.30269499996,5455984.08466
221,226296,Theft of Bicycle,2003,5,13,7,0,15XX W 15TH AVE,Fairview,489821.66683999996,5456153.59086
222,223247,Theft of Bicycle,2003,1,15,18,0,12XX HAMILTON ST,Central Business District,490988.74502200005,5457937.96254
223,231882,Theft of Bicycle,2003,6,22,23,0,22XX NAPIER ST,Grandview-Woodland,495681.151524,5458006.8727400005
224,223248,Theft of Bicycle,2003,4,14,9,0,12XX HAMILTON ST,Central Business District,490988.74502200005,5457937.96254
225,250178,Theft of Bicycle,2003,9,3,7,30,LAUREL ST / W 10TH AVE,Fairview,490879.47710699996,5456635.37088
226,250148,Theft of Bicycle,2003,8,5,13,0,KINGSWAY AVE / LINCOLN ST,Killarney,498072.05833,5453265.09915
227,244254,Theft of Bicycle,2003,6,18,20,30,8XX BROUGHTON ST,West End,490491.60521000007,5459404.85305
228,231832,Theft of Bicycle,2003,10,7,12,0,22XX HEATHER ST,Fairview,491279.502244,5456963.46194
229,244249,Theft of Bicycle,2003,4,20,12,0,8XX BIDWELL ST,West End,490229.216096,5459712.09442
230,237146,Theft of Bicycle,2003,11,11,14,15,3XX E PENDER ST,Strathcona,492929.58803100005,5458619.910019999
231,226407,Theft of Bicycle,2003,11,12,9,0,15XX W 8TH AVE,Fairview,489875.45377799997,5456875.022469999
232,247882,Theft of Bicycle,2003,8,23,14,30,CARTWRIGHT ST / OLD BRIDGE ST,Fairview,490167.75749700004,5457492.08879
233,226396,Theft of Bicycle,2003,5,22,12,15,15XX W 7TH AVE,Fairview,489915.143189,5456958.21015
234,223203,Theft of Bicycle,2003,9,9,1,0,12XX E GEORGIA ST,Strathcona,494267.86665100005,5458423.2879800005
