TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,LAT,LON,DATETIME
Theft of Bicycle,2003,1,8,6,0,13XX W 4TH AVE,Fairview,49.266678897653286,-123.13505409457308,2003-01-08 06:00:00
Theft of Bicycle,2003,1,8,9,30,1XX MILROSS AVE,Central Business District,49.27600286463694,-123.10025946079465,2003-01-08 09:30:00
Theft of Bicycle,2003,1,8,14,0,16XX DURANLEAU ST,Fairview,49.27197466927598,-123.1360199145043,2003-01-08 14:00:00
Theft of Bicycle,2003,1,8,17,0,CAMBIE ST / W 18TH AVE,Riley Park,49.25490389818581,-123.11516050006118,2003-01-08 17:00:00
Theft of Bicycle,2003,1,8,22,30,22XX W 1ST AVE,Kitsilano,49.270817236213574,-123.15729848804588,2003-01-08 22:30:00
Theft of Bicycle,2003,1,9,0,0,35XX W 15TH AVE,Kitsilano,49.25884064872072,-123.1827906288064,2003-01-09 00:00:00
Theft of Bicycle,2003,1,9,0,0,18XX BARCLAY ST,West End,49.29046657825144,-123.13807782472396,2003-01-09 00:00:00
Theft of Bicycle,2003,1,10,1,0,15XX MARPOLE AVE,Shaughnessy,49.255954162597895,-123.14042627430622,2003-01-10 01:00:00
Theft of Bicycle,2003,1,10,12,12,3XX E 1ST AVE,Mount Pleasant,49.267951965005246,-123.09673512993554,2003-01-10 12:12:00
Theft of Bicycle,2003,1,10,13,0,8XX W HASTINGS ST,Central Business District,49.28611420180193,-123.11498514032203,2003-01-10 13:00:00
Theft of Bicycle,2003,1,10,14,0,20XX MAPLE ST,Kitsilano,49.26740166252403,-123.15034995481321,2003-01-10 14:00:00
Theft of Bicycle,2003,1,10,17,0,4XX SEYMOUR ST,Central Business District,49.28437894191258,-123.11319949492558,2003-01-10 17:00:00
Theft of Bicycle,2003,1,10,18,0,20XX W 2ND AVE,Kitsilano,49.269915368161215,-123.15098662786518,2003-01-10 18:00:00
Theft of Bicycle,2003,1,10,18,0,18XX BARCLAY ST,West End,49.29046657825144,-123.13807782472396,2003-01-10 18:00:00
Theft of Bicycle,2003,1,11,0,0,3XX E 1ST AVE,Mount Pleasant,49.267951965005246,-123.09673512993554,2003-01-11 00:00:00
Theft of Bicycle,2003,1,11,6,51,23XX CORNWALL AVE,Kitsilano,49.27260195654295,-123.15872228964818,2003-01-11 06:51:00
Theft of Bicycle,2003,1,12,21,30,6XX DAVIE ST,Central Business District,49.276505381771706,-123.1252840619934,2003-01-12 21:30:00
Theft of Bicycle,2003,1,13,0,0,18XX PENDRELL ST,West End,49.28820527062391,-123.14105717994437,2003-01-13 00:00:00
Theft of Bicycle,2003,1,13,4,15,12XX BARCLAY ST,West End,49.28527212030762,-123.13000495932116,2003-01-13 04:15:00
Theft of Bicycle,2003,1,13,8,0,20XX SCOTIA ST,Mount Pleasant,49.266816638648216,-123.09873616808552,2003-01-13 08:00:00
Theft of Bicycle,2003,1,13,16,30,5XX HAMILTON ST,Central Business District,49.28203951787446,-123.11098922455305,2003-01-13 16:30:00
Theft of Bicycle,2003,1,14,11,32,27XX CHANDLERY PL,Killarney,49.20683019492476,-123.05051754250927,2003-01-14 11:32:00
Theft of Bicycle,2003,1,14,12,0,70XX ASH CRES,Oakridge,49.22112013594026,-123.11900205873518,2003-01-14 12:00:00
Theft of Bicycle,2003,1,14,13,0,12XX E PENDER ST,Strathcona,49.28035467427303,-123.07893879237115,2003-01-14 13:00:00
Theft of Bicycle,2003,1,14,16,46,3XX W GEORGIA ST,Central Business District,49.28023389126564,-123.11478463074529,2003-01-14 16:46:00
Theft of Bicycle,2003,1,14,21,0,5XX W 14TH AVE,Fairview,49.25880779918135,-123.11656559322782,2003-01-14 21:00:00
Theft of Bicycle,2003,1,15,18,0,12XX HAMILTON ST,Central Business District,49.27413305822746,-123.12388262706419,2003-01-15 18:00:00
Theft of Bicycle,2003,1,16,0,0,15XX VINE ST,Kitsilano,49.272298280413324,-123.15743390084477,2003-01-16 00:00:00
Theft of Bicycle,2003,1,17,1,0,22XX W 6TH AVE,Kitsilano,49.26650199789427,-123.15605873057251,2003-01-17 01:00:00
Theft of Bicycle,2003,1,17,22,45,54XX DUNDEE ST,Renfrew-Collingwood,49.23533001467934,-123.04750666842293,2003-01-17 22:45:00
Theft of Bicycle,2003,1,17,23,0,11XX HOWE ST,Central Business District,49.277979563408884,-123.12701581315048,2003-01-17 23:00:00
Theft of Bicycle,2003,1,18,15,3,11XX BURNABY ST,West End,49.28068577869788,-123.13394298950526,2003-01-18 15:03:00
Theft of Bicycle,2003,1,18,17,11,18XX SPYGLASS PL,Fairview,49.26957872733693,-123.11533039584619,2003-01-18 17:11:00
Theft of Bicycle,2003,1,18,17,25,19XX FERNDALE ST,Grandview-Woodland,49.27962882382609,-123.06503488118439,2003-01-18 17:25:00
Theft of Bicycle,2003,1,18,22,50,16XX DAVIE ST,West End,49.285338429030865,-123.13893701732185,2003-01-18 22:50:00
Theft of Bicycle,2003,1,19,9,46,32XX W 4TH AVE,Kitsilano,49.26851827220293,-123.17645172052251,2003-01-19 09:46:00
Theft of Bicycle,2003,1,19,11,23,20XX W 1ST AVE,Kitsilano,49.27081013412334,-123.15181729591943,2003-01-19 11:23:00
Theft of Bicycle,2003,1,20,6,20,24XX GRANVILLE ST,Fairview,49.26445635599848,-123.13846832618346,2003-01-20 06:20:00
Theft of Bicycle,2003,1,20,8,55,70XX WERKS DR,Killarney,49.21969823030432,-123.03189995493042,2003-01-20 08:55:00
Theft of Bicycle,2003,1,20,15,0,3XX W GEORGIA ST,Central Business District,49.28023389126564,-123.11478463074529,2003-01-20 15:00:00
Theft of Bicycle,2003,1,20,15,0,24XX W 4TH AVE,Kitsilano,49.26830081826495,-123.16049585654272,2003-01-20 15:00:00
Theft of Bicycle,2003,1,20,19,30,8XX GRANVILLE ST,Central Business District,49.28128730748576,-123.11984951128036,2003-01-20 19:30:00
Theft of Bicycle,2003,1,20,21,30,24XX W 1ST AVE,Kitsilano,49.27086922238803,-123.16050075751977,2003-01-20 21:30:00
Theft of Bicycle,2003,1,21,0,0,10XX BUTE ST,West End,49.282834766324584,-123.1318741616016,2003-01-21 00:00:00
Theft of Bicycle,2003,1,21,6,0,10XX GILFORD ST,West End,49.2901909362945,-123.14040688371924,2003-01-21 06:00:00
Theft of Bicycle,2003,1,21,10,0,11XX MCLEAN DR,Grandview-Woodland,49.27465157106116,-123.07453111699702,2003-01-21 10:00:00
Theft of Bicycle,2003,1,22,19,0,25XX W 13TH AVE,Kitsilano,49.260195869730964,-123.16346484758832,2003-01-22 19:00:00
Theft of Bicycle,2003,1,23,2,0,DUNBAR ST / W 30TH AVE,Dunbar-Southlands,49.24522669818889,-123.18524380029291,2003-01-23 02:00:00
Theft of Bicycle,2003,1,23,8,50,17XX DAVIE ST,West End,49.287153457410135,-123.1415530979809,2003-01-23 08:50:00
Theft of Bicycle,2003,1,23,23,0,32XX W 4TH AVE,Kitsilano,49.26851827220293,-123.17645172052251,2003-01-23 23:00:00
Theft of Bicycle,2003,1,24,15,30,2XX W 20TH AVE,Riley Park,49.252830985404096,-123.11123936316302,2003-01-24 15:30:00
Theft of Bicycle,2003,1,24,19,25,TRIUMPH ST / VICTORIA DR,Grandview-Woodland,49.283929298161205,-123.06553910000737,2003-01-24 19:25:00
Theft of Bicycle,2003,1,26,0,0,11XX MCLEAN DR,Grandview-Woodland,49.27465157106116,-123.07453111699702,2003-01-26 00:00:00
Theft of Bicycle,2003,1,26,18,0,12XX W 11TH AVE,Fairview,49.26165370064262,-123.13294279606862,2003-01-26 18:00:00
Theft of Bicycle,2003,1,26,21,49,28XX ASH ST,Fairview,49.26039289324996,-123.11756811105653,2003-01-26 21:49:00
Theft of Bicycle,2003,1,26,22,20,19XX W 1ST AVE,Kitsilano,49.270779798349864,-123.14997348609546,2003-01-26 22:20:00
Theft of Bicycle,2003,1,27,10,25,4XX W BROADWAY AVE,Mount Pleasant,49.263139795709115,-123.1129872067099,2003-01-27 10:25:00
Theft of Bicycle,2003,1,27,13,45,30XX W BROADWAY AVE,Kitsilano,49.26410162155282,-123.17215637305551,2003-01-27 13:45:00
Theft of Bicycle,2003,1,27,18,25,24XX E HASTINGS ST,Hastings-Sunrise,49.2812091116279,-123.05590531131735,2003-01-27 18:25:00
Theft of Bicycle,2003,1,27,20,0,21XX YEW ST,Kitsilano,49.26710806584203,-123.15525132866011,2003-01-27 20:00:00
Theft of Bicycle,2003,1,28,0,0,14XX GRANVILLE ST,Central Business District,49.274886334248976,-123.12945555388514,2003-01-28 00:00:00
Theft of Bicycle,2003,1,28,5,15,ALMA ST / W 10TH AV,Kitsilano,49.26348149820464,-123.1858987002878,2003-01-28 05:15:00
Theft of Bicycle,2003,1,29,0,0,19XX NELSON ST,West End,49.29044803468487,-123.14038511847758,2003-01-29 00:00:00
Theft of Bicycle,2003,1,29,0,0,36XX ARBUTUS ST,Arbutus Ridge,49.25428768104262,-123.15306243197774,2003-01-29 00:00:00
Theft of Bicycle,2003,1,29,12,0,19XX NELSON ST,West End,49.29044803468487,-123.14038511847758,2003-01-29 12:00:00
Theft of Bicycle,2003,1,30,4,0,7XX UNION ST,Strathcona,49.27750675090947,-123.08844442473399,2003-01-30 04:00:00
Theft of Bicycle,2003,1,30,6,30,33XX W 2ND AVE,Kitsilano,49.270360969269284,-123.17873838318971,2003-01-30 06:30:00
Theft of Bicycle,2003,1,31,14,30,15XX W 11 AV,Fairview,49.26167039436503,-123.13870024421749,2003-01-31 14:30:00
Theft of Bicycle,2003,1,31,15,0,16XX DURANLEAU ST,Fairview,49.27210538773796,-123.13588946782309,2003-01-31 15:00:00
Theft of Bicycle,2003,1,31,16,30,36XX MAIN ST,Riley Park,49.25296790333037,-123.10086225326302,2003-01-31 16:30:00
Theft of Bicycle,2003,1,31,18,30,22XX REDBUD LANE,Kitsilano,49.26149342937562,-123.15683027939376,2003-01-31 18:30:00
Theft of Bicycle,2003,1,31,22,40,18XX E GEORGIA ST,Grandview-Woodland,49.27839027719822,-123.06680362940504,2003-01-31 22:40:00
Theft of Bicycle,2003,2,1,0,0,17XX ALBERNI ST,West End,49.2914514938672,-123.13316488706892,2003-02-01 00:00:00
Theft of Bicycle,2003,2,1,19,0,41XX W 15TH AVE,West Point Grey,49.259158788058095,-123.19909861476427,2003-02-01 19:00:00
Theft of Bicycle,2003,2,2,1,0,35XX CROWLEY DR,Renfrew-Collingwood,49.23551907109829,-123.02804754795542,2003-02-02 01:00:00
Theft of Bicycle,2003,2,3,5,0,18XX E GEORGIA ST,Grandview-Woodland,49.27839027719822,-123.06680362940504,2003-02-03 05:00:00
Theft of Bicycle,2003,2,3,8,0,10XX BURRARD ST,West End,49.2802852870512,-123.12745793760524,2003-02-03 08:00:00
Theft of Bicycle,2003,2,3,11,0,46XX W 10TH AVE,West Point Grey,49.263866197990374,-123.21379847409119,2003-02-03 11:00:00
Theft of Bicycle,2003,2,3,15,0,9XX GILFORD ST,West End,49.29101860070332,-123.13913847686737,2003-02-03 15:00:00
Theft of Bicycle,2003,2,3,19,0,7XX CHILCO ST,West End,49.29401927356846,-123.13731997751452,2003-02-03 19:00:00
Theft of Bicycle,2003,2,4,0,0,13XX W GEORGIA ST,Central Business District,49.2884483215735,-123.12726923983351,2003-02-04 00:00:00
Theft of Bicycle,2003,2,4,2,0,19XX W 1ST AVE,Kitsilano,49.270779798349864,-123.14997348609546,2003-02-04 02:00:00
Theft of Bicycle,2003,2,4,3,42,5XX DUNSMUIR ST,Central Business District,49.28236918595116,-123.11454676157383,2003-02-04 03:42:00
Theft of Bicycle,2003,2,4,8,0,12XX W 14TH AVE,Fairview,49.25875920179348,-123.13180225185994,2003-02-04 08:00:00
Theft of Bicycle,2003,2,4,9,0,6XX MOBERLY RD,Fairview,49.26826871858347,-123.11754267768681,2003-02-04 09:00:00
Theft of Bicycle,2003,2,4,17,0,5XX PRIOR ST,Strathcona,49.2766237173075,-123.09324422168598,2003-02-04 17:00:00
Theft of Bicycle,2003,2,4,21,30,19XX W 1ST AVE,Kitsilano,49.270779798349864,-123.14997348609546,2003-02-04 21:30:00
Theft of Bicycle,2003,2,4,23,50,25XX W BROADWAY AVE,Kitsilano,49.26406119558826,-123.16382910841043,2003-02-04 23:50:00
Theft of Bicycle,2003,2,5,8,0,20XX E 3RD AVE,Grandview-Woodland,49.2677702358821,-123.06209995462895,2003-02-05 08:00:00
Theft of Bicycle,2003,2,5,20,0,16XX E 6TH AVE,Grandview-Woodland,49.26504404984949,-123.07024969246457,2003-02-05 20:00:00
Theft of Bicycle,2003,2,6,14,0,12XX W KING EDWARD AVE,Shaughnessy,49.24943756534981,-123.13320027996319,2003-02-06 14:00:00
Theft of Bicycle,2003,2,6,16,0,21XX W 10TH AVE,Kitsilano,49.2629318788879,-123.15486790157458,2003-02-06 16:00:00
Theft of Bicycle,2003,2,7,0,0,19XX NELSON ST,West End,49.29125636623133,-123.14145598376179,2003-02-07 00:00:00
Theft of Bicycle,2003,2,7,0,1,13XX BARCLAY ST,West End,49.28587025661763,-123.1309481413118,2003-02-07 00:01:00
Theft of Bicycle,2003,2,7,19,0,12XX E 17TH AVE,Kensington-Cedar Cottage,49.25530989791422,-123.07918284558589,2003-02-07 19:00:00
Theft of Bicycle,2003,2,8,13,40,26XX CHARLES ST,Hastings-Sunrise,49.273232158694164,-123.0512293317014,2003-02-08 13:40:00
Theft of Bicycle,2003,2,8,18,20,9XX PACIFIC ST,Central Business District,49.27695952352611,-123.1323270533052,2003-02-08 18:20:00
Theft of Bicycle,2003,2,9,16,0,18XX ROBSON ST,West End,49.291499689031994,-123.13559777263555,2003-02-09 16:00:00
Theft of Bicycle,2003,2,9,23,0,89XX HUDSON ST,Marpole,49.20339028218508,-123.13483988526833,2003-02-09 23:00:00
Theft of Bicycle,2003,2,10,2,10,11XX BROUGHTON ST,West End,49.28472297458195,-123.13484884528502,2003-02-10 02:10:00
Theft of Bicycle,2003,2,10,14,30,2XX W PENDER ST,Central Business District,49.281559172641174,-123.11015433480637,2003-02-10 14:30:00
Theft of Bicycle,2003,2,10,21,0,CYPRESS ST / YORK AV,Kitsilano,49.27157239812624,-123.14784190013947,2003-02-10 21:00:00
Theft of Bicycle,2003,2,11,8,0,10XX PACIFIC ST,West End,49.27776717774474,-123.1335772953261,2003-02-11 08:00:00
Theft of Bicycle,2003,2,11,9,0,13XX RICHARDS ST,Central Business District,49.274747092495694,-123.12586415227854,2003-02-11 09:00:00
Theft of Bicycle,2003,2,11,18,0,7XX W 8TH AVE,Fairview,49.26426037651887,-123.12021333984282,2003-02-11 18:00:00
Theft of Bicycle,2003,2,11,23,30,17XX DAVIE ST,West End,49.28692505708704,-123.14137945453126,2003-02-11 23:30:00
Theft of Bicycle,2003,2,12,8,30,15XX E 5TH AVE,Grandview-Woodland,49.26604868439342,-123.07208489644442,2003-02-12 08:30:00
Theft of Bicycle,2003,2,12,20,30,17XX E BROADWAY AVE,Grandview-Woodland,49.26235675269465,-123.06867528333511,2003-02-12 20:30:00
Theft of Bicycle,2003,2,13,20,30,17XX NELSON ST,West End,49.28852916482441,-123.13744468868511,2003-02-13 20:30:00
Theft of Bicycle,2003,2,13,23,30,16XX W 13TH AVE,Fairview,49.25992697842352,-123.14310329856421,2003-02-13 23:30:00
Theft of Bicycle,2003,2,14,9,0,HOMER ST / W HASTINGS ST,Central Business District,49.283412698192265,-123.11093770005637,2003-02-14 09:00:00
Theft of Bicycle,2003,2,14,16,30,7XX EXPO BLVD,Central Business District,49.27765377335705,-123.11269568922219,2003-02-14 16:30:00
Theft of Bicycle,2003,2,14,17,45,E 2ND AVE / MAIN ST,Mount Pleasant,49.26905129815726,-123.10078570003887,2003-02-14 17:45:00
Theft of Bicycle,2003,2,15,16,30,27XX YEW ST,Kitsilano,49.26106092091922,-123.15548136027901,2003-02-15 16:30:00
Theft of Bicycle,2003,2,16,15,0,20XX PENDRELL ST,West End,49.289963785504,-123.14373679119075,2003-02-16 15:00:00
Theft of Bicycle,2003,2,17,0,0,10XX JERVIS ST,West End,49.283973140730076,-123.13306569201754,2003-02-17 00:00:00
Theft of Bicycle,2003,2,17,14,0,GRANVILLE ST / ROBSON ST,Central Business District,49.28136839816143,-123.1198153000724,2003-02-17 14:00:00
Theft of Bicycle,2003,2,17,15,0,3XX ROBSON ST,Central Business District,49.278843642024455,-123.1160444983661,2003-02-17 15:00:00
Theft of Bicycle,2003,2,17,15,0,9XX RICHARDS ST,Central Business District,49.27816226427099,-123.12089853193741,2003-02-17 15:00:00
Theft of Bicycle,2003,2,17,20,0,7XX W GEORGIA ST,Central Business District,49.282480826024305,-123.11823066621527,2003-02-17 20:00:00
Theft of Bicycle,2003,2,18,20,0,21XX E 3RD AVE,Grandview-Woodland,49.267684461775104,-123.06162388531358,2003-02-18 20:00:00
Theft of Bicycle,2003,2,19,7,0,COMMERCIAL DR / E BROADWAY AV,Grandview-Woodland,49.262326898128485,-123.06979470001515,2003-02-19 07:00:00
Theft of Bicycle,2003,2,19,7,30,3XX CAMBIE ST,Central Business District,49.283476716362905,-123.10911560968546,2003-02-19 07:30:00
Theft of Bicycle,2003,2,19,15,48,10XX DAVIE ST,West End,49.27911386597358,-123.1293284269646,2003-02-19 15:48:00
Theft of Bicycle,2003,2,19,19,0,12XX JERVIS ST,West End,49.282682072112216,-123.13502766709033,2003-02-19 19:00:00
Theft of Bicycle,2003,2,20,2,0,20XX W 3RD AVE,Kitsilano,49.2690501625894,-123.15169830955813,2003-02-20 02:00:00
Theft of Bicycle,2003,2,20,5,2,14XX DAVIE ST,West End,49.28435031633157,-123.13722734629023,2003-02-20 05:02:00
Theft of Bicycle,2003,2,20,5,40,25XX WATERLOO ST,Kitsilano,49.26404754410245,-123.17976794389217,2003-02-20 05:40:00
Theft of Bicycle,2003,2,20,21,0,20XX BEACH AVE,West End,49.28958391415297,-123.14433141891558,2003-02-20 21:00:00
Theft of Bicycle,2003,2,21,23,0,15XX ARBUTUS ST,Kitsilano,49.27228842346571,-123.1525490603555,2003-02-21 23:00:00
Theft of Bicycle,2003,2,22,15,10,3XX W GEORGIA ST,Central Business District,49.279940564155325,-123.11434854647338,2003-02-22 15:10:00
Theft of Bicycle,2003,2,22,22,0,STATION ST / TERMINAL AVE,Strathcona,49.272507898168755,-123.09862530004425,2003-02-22 22:00:00
Theft of Bicycle,2003,2,23,21,0,11XX THURLOW ST,West End,49.281412348032546,-123.12959013882349,2003-02-23 21:00:00
Theft of Bicycle,2003,2,25,9,45,25XX BALSAM ST,Kitsilano,49.263682517602696,-123.16008403626908,2003-02-25 09:45:00
Theft of Bicycle,2003,2,25,21,30,22XX MARSTRAND AVE,Kitsilano,49.26242912170338,-123.1573579414811,2003-02-25 21:30:00
Theft of Bicycle,2003,2,26,11,20,8XX DENMAN ST,West End,49.290569375852726,-123.1367416450476,2003-02-26 11:20:00
Theft of Bicycle,2003,2,26,19,30,8XX DENMAN ST,West End,49.290569375852726,-123.1367416450476,2003-02-26 19:30:00
Theft of Bicycle,2003,2,27,7,30,13XX CHESTNUT ST,Kitsilano,49.273888331511934,-123.14635972040432,2003-02-27 07:30:00
Theft of Bicycle,2003,2,27,7,50,7X W HASTINGS ST,Central Business District,49.28181975424563,-123.10643577131351,2003-02-27 07:50:00
Theft of Bicycle,2003,2,27,8,30,13XX CHESTNUT ST,Kitsilano,49.27393637494846,-123.14635600659423,2003-02-27 08:30:00
Theft of Bicycle,2003,2,27,10,13,15XX ROBSON ST,West End,49.28889487146392,-123.13138866008899,2003-02-27 10:13:00
Theft of Bicycle,2003,2,27,18,30,19XX YORK AVE,Kitsilano,49.271557798408566,-123.14945104830103,2003-02-27 18:30:00
Theft of Bicycle,2003,2,27,19,0,5XX W HASTINGS ST,Central Business District,49.28404845041143,-123.11200017867287,2003-02-27 19:00:00
Theft of Bicycle,2003,3,1,0,0,16XX CYPRESS ST,Kitsilano,49.27082619850971,-123.14780833472562,2003-03-01 00:00:00
Theft of Bicycle,2003,3,1,0,0,16XX ROBSON ST,West End,49.290386238734825,-123.13384427018494,2003-03-01 00:00:00
Theft of Bicycle,2003,3,1,0,0,14XX W GEORGIA ST,West End,49.289158286997164,-123.12854441841257,2003-03-01 00:00:00
Theft of Bicycle,2003,3,1,12,0,19XX ALBERNI ST,West End,49.293463277573196,-123.13647799488182,2003-03-01 12:00:00
Theft of Bicycle,2003,3,1,13,45,4X POWELL ST,Central Business District,49.283300863968286,-123.10313237322104,2003-03-01 13:45:00
Theft of Bicycle,2003,3,1,22,0,16XX CYPRESS ST,Kitsilano,49.27082619850971,-123.14780833472562,2003-03-01 22:00:00
Theft of Bicycle,2003,3,2,1,50,21XX W 11TH AVE,Kitsilano,49.261989955708614,-123.1533533500019,2003-03-02 01:50:00
Theft of Bicycle,2003,3,3,7,30,12XX W 11TH AVE,Fairview,49.26164467845766,-123.13225382897856,2003-03-03 07:30:00
Theft of Bicycle,2003,3,3,7,30,15XX W 2ND AVE,Fairview,49.26959330342937,-123.13826431494628,2003-03-03 07:30:00
Theft of Bicycle,2003,3,3,14,30,7XX W PENDER ST,Central Business District,49.28480502475832,-123.11499949669724,2003-03-03 14:30:00
Theft of Bicycle,2003,3,4,18,0,9XX RICHARDS ST,Central Business District,49.27835824509428,-123.12060418019928,2003-03-04 18:00:00
Theft of Bicycle,2003,3,5,8,0,12XX W 7TH AVE,Fairview,49.26519661233703,-123.13170899869291,2003-03-05 08:00:00
Theft of Bicycle,2003,3,5,12,0,2XX ALVIN NAROD MEWS,Central Business District,49.27453449852255,-123.1199471525139,2003-03-05 12:00:00
Theft of Bicycle,2003,3,5,19,0,20XX W 8TH AVE,Kitsilano,49.26467783053319,-123.15105640921313,2003-03-05 19:00:00
Theft of Bicycle,2003,3,5,21,30,16XX COMMERCIAL DR,Grandview-Woodland,49.270452793745186,-123.06958786683907,2003-03-05 21:30:00
Theft of Bicycle,2003,3,6,12,0,3XX W GEORGIA ST,Central Business District,49.28023389126564,-123.11478463074529,2003-03-06 12:00:00
Theft of Bicycle,2003,3,6,19,0,1XX W 18TH AVE,Riley Park,49.25471567183794,-123.10961804498336,2003-03-06 19:00:00
Theft of Bicycle,2003,3,7,18,0,17XX PENDRELL ST,West End,49.28725653718654,-123.13958454764176,2003-03-07 18:00:00
Theft of Bicycle,2003,3,8,0,0,23XX W 3RD AVE,Kitsilano,49.26914597435206,-123.15832385507099,2003-03-08 00:00:00
Theft of Bicycle,2003,3,8,19,0,13XX PENDRELL ST,West End,49.28377939390461,-123.1343708997704,2003-03-08 19:00:00
Theft of Bicycle,2003,3,8,23,0,11XX NELSON ST,West End,49.2831799906766,-123.1290191866284,2003-03-08 23:00:00
Theft of Bicycle,2003,3,9,18,0,14XX W 6TH AVE,Fairview,49.266199240471764,-123.13671152196328,2003-03-09 18:00:00
Theft of Bicycle,2003,3,9,20,0,16XX E 6TH AVE,Grandview-Woodland,49.26506078583449,-123.07165147254184,2003-03-09 20:00:00
Theft of Bicycle,2003,3,11,20,0,36XX W 26TH AVE,Dunbar-Southlands,49.24906497289009,-123.18626473240646,2003-03-11 20:00:00
Theft of Bicycle,2003,3,12,17,0,12XX RICHARDS ST,Central Business District,49.27494821730787,-123.12573813330013,2003-03-12 17:00:00
Theft of Bicycle,2003,3,13,18,0,12XX BEACH AVE,West End,49.27952642367321,-123.13729737665172,2003-03-13 18:00:00
Theft of Bicycle,2003,3,14,16,0,29XX W 14TH AVE,Kitsilano,49.2596799539666,-123.17154160991544,2003-03-14 16:00:00
Theft of Bicycle,2003,3,14,21,0,25XX W 15TH AVE,Kitsilano,49.258426341174655,-123.16427552970782,2003-03-14 21:00:00
Theft of Bicycle,2003,3,14,22,0,26XX CRANBERRY DR,Kitsilano,49.262824643753845,-123.15374086190164,2003-03-14 22:00:00
Theft of Bicycle,2003,3,15,12,0,31XX W 4TH AVE,Kitsilano,49.2684983002288,-123.17497803202616,2003-03-15 12:00:00
Theft of Bicycle,2003,3,15,13,30,55XX ARGYLE ST,Kensington-Cedar Cottage,49.23395670863231,-123.07141093701397,2003-03-15 13:30:00
Theft of Bicycle,2003,3,15,17,0,5XX SEYMOUR ST,Central Business District,49.28393899726509,-123.11386375179868,2003-03-15 17:00:00
Theft of Bicycle,2003,3,15,18,0,29XX W 34TH AVE,Dunbar-Southlands,49.241318505488195,-123.17159570229552,2003-03-15 18:00:00
